poste,nom,tit,entrees,buts,team,J01,J02,J03,J04,J05,J06,J07,J08,J09,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31*,J32*
G,Pelé,,,,OM,6,5,7,3,6,5,6,6,6,6,5,4,6,3,5,6,7,7,6,4,4,7,4,6,6,6,3,6,8,7,6,7
G,Samba,,,,OM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Sparagna,,,,OM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Doria,,,,OM,6,3,6,5,6,,6,5,5,6,6,3,,,,,<,,,<,3,<,3,5,,<,,<,,<,:1,:1
D,Aloé,,,,OM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Andonian,,,,OM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Tuiloma,,,,OM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Rekik,,,,OM,4,3,6,3,,6,,,,<,,,5,3,,,,,5,2,,,,,,,,,,,,
D,Rolando,,,,OM,,,,,,,,<,,7,6,3,7,4,6,6,6,6,5,3,3,7,5,6,3,5,2,7,6,6,5:4,5:4
D,Sakai,,,,OM,5,2,6,4,6,Bl.,6,6,4,5,,5,4,5,5,7,6,7,6,3,2,5,3,6,4,,3,6,6,6,5,5
D,Hubocan,,,,OM,5,2,7,4,6,2,<,,<,,,,,,5,6,5,6,,,,,,,,,,,,,,
D,Fanni,,,,OM,,,,,,,6,6,5,6,5,4,5,3,5,6,7,6,4,3,3,6,5,6,3,,2,,5,4,:1,:1
D,Evra,,,,OM,,,,,,,,,,,,,,,,,,,,,,6,,,3,6,2,,,,,6
D,Bédimo,,,,OM,Bl.,,,,4,5,4,5,4,5,5,4,,,,,,,,,,,,,,,3,6,6,5,3,<
M,Alessandrini,,,,OM,,,,,,,,,,,<,5,5,,<,,,,,,,,,,,,,,,,,
M,Sarr,,,,OM,3,4,<,7,3,<,<,4,5,,5,,<,,,<,<,<,<,<,3,<,4,,,<,,<,<,,,
M,Cabella,,,,OM,4,2,7,,<,4,5,3,,,<,4,,<,4,,,<,5,3,,7,4,<,,<,<,7,7,4,<:2,<:2
M,Diarra,,,,OM,4,3,6,,,,,,5,6,5,3,,4,,,,<,<,,,,,<,,,,,,,,
M,Zambo Anguissa,,,,OM,,,<,4,4,6,6,5,,3,,4,<,<,5,6,5,6,6,3,4,6,4,<,5,5,2,6,<,<,<,4
M,Thauvin,,,,OM,4,<,6,7,5,4,6,6,7,4,6,6,5,4,4,8,7,7,4,3,3,8,3,4,5,7,3,8,8,4,4:10,4:10
M,Diaby,,,,OM,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,Khaoui,,,,OM,6,4,<,<,,,<,,,,,,,,<,<,,,,<,,,,,,,,,,,,
