poste,nom,tit,entrees,buts,team,J01,J02,J03,J04,J05,J06,J07,J08,J09,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28*,J29,J30*,J31*
G,Pelé,,,,OM,6,5,7,4,5,4,5,6,6,7,6,4,6,4,6,7,6,6,6,4,5,6,5,6,5,6,4,5,7,6,6
G,Samba,,,,OM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Sparagna,,,,OM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Doria,,,,OM,5,4,5,4,5,,6,5,6,5,5,4,,,,,<,,,<,5,<,4,6,,<,,<:1,,<:1,:1
D,Aloé,,,,OM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Andonian,,,,OM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Tuiloma,,,,OM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Rekik,,,,OM,5,3,6,4,,4,,,,<,,,5,3,,,,,6,3,,,,,,,,,,,
D,Rolando,,,,OM,,,,,,,,<,,5,5,4,7,3,6,6,5,6,6,5,3,7,5,6,4,6,2,8:4,6,7:4,4:4
D,Sakai,,,,OM,5,4,7,3,5,Bl.,7,4,6,5,,5,6,4,6,6,5,6,4,3,4,5,4,6,5,,3,6,6,5,6
D,Hubocan,,,,OM,6,5,6,4,6,2,<,,<,,,,,,5,6,5,5,,,,,,,,,,,,,
D,Fanni,,,,OM,,,,,,,6,5,7,6,5,4,6,3,5,6,5,7,5,3,4,6,6,6,4,,3,:1,6,5:1,:1
D,Evra,,,,OM,,,,,,,,,,,,,,,,,,,,,,5,,,3,5,4,,,,
D,Bédimo,,,,OM,Bl.,,,,4,4,4,5,6,5,5,4,,,,,,,,,,,,,,,4,6,6,5,5
M,Alessandrini,,,,OM,,,,,,,,,,,<,4,5,,<,,,,,,<,,,,,,,,,,
M,Sarr,,,,OM,5,4,<,5,4,<,<,4,6,,4,,<,,,<,<,<,<,<,4,<,4,,<,<,,<,<,,
M,Cabella,,,,OM,5,4,8,,<,5,5,5,,,<,5,,<,4,,,<,6,3,<,8,4,<,,<,<,6:1,7,5:2,<:2
M,Diarra,,,,OM,5,5,7,,,,,,7,5,6,5,,3,,,,<,<,,,,,<,,,,,,,
