sheet,name,short_name,J01,J02,J03,J04,J05,J06,J07,J08,J09,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31
2,Olympique de Marseille,OM,J01 (D): TFC,J02 (E): EAG,J03 (D): FCL,J04 (E): OGCN,J05 (D): OL,J06 (E): SRFC,J07 (D): FCN,J08 (E): SMC,J09 (D): FCM,J10 (E): PSG,J11 (D): FCGB,J12 (E): MHSC,J13 (D): SMC,J14 (E): ASM,J15 (E): ASSE,J16 (D): ASNL,J17 (E): DFCO,J18 (D): LOSC,J19 (E): SCB,J20 (D): ASM,J21 (E): OL,J22 (D): MHSC,J23 (E): FCM,J24 (D): EAG,J25 (E): FCN,J26 (D): SRFC,J27 (D): PSG,J28 (E): FCL,J29 (D): SCO,J30 (E): LOSC,J31 (D): DFCO
3,Olympique lyonnais,OL,J01 (E): ASNL,J02 (D): SMC,J03 (E): DFCO,J04 (D): FCGB,J05 (E): OM,J06 (D): MHSC,J07 (E): FCL,J08 (D): ASSE,J09 (E): OGCN,J10 (D): EAG,J11 (E): TFC,J12 (D): SCB,J13 (E): LOSC,J14 (D): PSG,J15 (E): FCN,J16 (E): FCM,J17 (D): SRFC,J18 (E): ASM,J19 (D): SCO,J20 (E): SMC,J21 (D): OM,J22 (D): LOSC,J23 (E): ASSE,J24 (D): ASNL,J25 (E): EAG,J26 (D): DFCO,J27 (D): FCM,J28 (E): FCGB,J29 (D): TFC,J30 (E): PSG,J31 (E): SRFC
4,Paris SG,PSG,J01 (E): SCB,J02 (D): FCM,J03 (E): ASM,J04 (D): ASSE,J05 (E): SMC,J06 (D): DFCO,J07 (E): TFC,J08 (D): FCGB,J09 (E): ASNL,J10 (D): OM,J11 (E): LOSC,J12 (D): SRFC,J13 (D): FCN,J14 (E): OL,J15 (D): SCO,J16 (E): MHSC,J17 (D): OGCN,J18 (E): EAG,J19 (D): FCL,J20 (E): SRFC,J21 (E): FCN,J22 (D): ASM,J23 (E): DFCO,J24 (D): LOSC,J25 (E): FCGB,J26 (D): TFC,J27 (E): OM,J28 (D): ASNL,J29 (E): FCL,J30 (D): OL
5,OGC Nice,OGCN,J01 (D): SRFC,J02 (E): SCO,J03 (D): LOSC,J04 (D): OM,J05 (E): MHSC,J06 (D): ASM,J07 (E): ASNL,J08 (D): FCL,J09 (D): OL,J10 (E): FCM,J11 (D): FCN,J12 (E): SMC,J13 (E): ASSE,J14 (D): SCB,J15 (E): EAG,J16 (D): TFC,J17 (E): PSG,J18 (D): DFCO,J19 (E): FCGB,J20 (D): FCM,J21 (E): SCB,J22 (D): EAG,J23 (E): ASM,J24 (D): ASSE,J25 (E): SRFC,J26 (E): FCL,J27 (D): MHSC,J28 (E): DFCO,J29 (D): SMC,J30 (E): FCN,J31 (D): FCGB
6,AS Saint-Etienne,ASSE,J01 (E): FCGB,J02 (D): MHSC,J03 (D): TFC,J04 (E): PSG,J05 (D): SCB,J06 (E): FCN,J07 (D): LOSC,J08 (E): OL,J09 (D): DFCO,J10 (E): SMC,J11 (D): ASM,J12 (E): FCM,J13 (D): OGCN,J14 (E): SCO,J15 (D): OM,J16 (E): SRFC,J17 (D): EAG,J18 (E): FCL,J19 (D): ASNL,J20 (E): LOSC,J21 (D): SCO,J22 (E): TFC,J23 (D): OL,J24 (E): OGCN,J25 (D): FCL,J26 (E): MHSC,J27 (D): SMC,J28 (E): SCB,J29 (D): FCM,J30 (E): DFCO
7,Lille OSC,L,J01 (E): FCM,J02 (D): DFCO,J03 (E): OGCN,J04 (D): ASM,J05 (E): FCL,J06 (D): TFC,J07 (E): ASSE,J08 (D): ASNL,J09 (E): EAG,J10 (D): SCB,J11 (D): PSG,J12 (E): SCO,J13 (D): OL,J14 (E): FCN,J15 (D): SMC,J16 (E): FCGB,J17 (D): MHSC,J18 (E): OM,J19 (D): SRFC,J20 (D): ASSE,J21 (E): DFCO,J22 (E): OL,J23 (D): FCL,J24 (E): PSG,J25 (D): SCO,J26 (E): SMC,J27 (D): FCGB,J28 (E): TFC,J29 (E): ASNL,J30 (D): OM,J31 (E): SCB
8,FC Girondins de Bordeaux,FCGB,J01 (D): ASSE,J02 (E): TFC,J03 (D): FCN,J04 (E): OL,J05 (D): SCO,J06 (E): FCM,J07 (D): SMC,J08 (E): PSG,J09 (E): SRFC,J10 (D): ASNL,J11 (E): OM,J12 (D): FCL,J13 (E): EAG,J14 (D): DFCO,J15 (E): SCB,J16 (D): LOSC,J17 (D): ASM,J18 (E): MHSC,J19 (D): OGCN,J20 (E): SCO,J21 (D): TFC,J22 (E): ASNL,J23 (D): SRFC,J24 (E): SMC,J25 (D): PSG,J26 (D): EAG,J27 (E): LOSC,J28 (D): OL,J29 (E): ASM,J30 (D): MHSC,J31 (E): OGCN
9,FC Lorient,FCL,J01 (E): SMC,J02 (D): SCB,J03 (E): OM,J04 (D): ASNL,J05 (D): LOSC,J06 (E): EAG,J07 (D): OL,J08 (E): OGCN,J09 (D): FCN,J10 (E): DFCO,J11 (D): MHSC,J12 (E): FCGB,J13 (D): ASM,J14 (E): FCM,J15 (D): SRFC,J16 (E): SCO,J17 (E): TFC,J18 (D): ASSE,J19 (E): PSG,J20 (D): EAG,J21 (E): ASM,J22 (D): DFCO,J23 (E): LOSC,J24 (D): TFC,J25 (E): ASSE,J26 (D): OGCN,J27 (E): SRFC,J28 (D): OM,J29 (D): PSG,J30 (E): ASNL,J31 (D): SMC
10,Montpellier Hérault SC,MHSC,J01 (D): SCO,J02 (E): ASSE,J03 (D): SRFC,J04 (E): EAG,J05 (D): OGCN,J06 (E): OL,J07 (D): FCM,J08 (E): DFCO,J09 (D): SMC,J10 (E): ASM,J11 (E): FCL,J12 (D): OM,J13 (E): SCB,J14 (D): ASNL,J15 (E): TFC,J16 (D): PSG,J17 (E): LOSC,J18 (D): FCGB,J19 (E): FCN,J20 (D): DFCO,J21 (E): FCM,J22 (E): OM,J23 (D): SCB,J24 (D): ASM,J25 (E): ASNL,J26 (D): ASSE,J27 (E): OGCN,J28 (D): EAG,J29 (D): FCN,J30 (E): FCGB,J31 (D): TFC
11,Toulouse FC,TFC,J01 (E): OM,J02 (D): FCGB,J03 (E): ASSE,J04 (E): SCB,J05 (D): EAG,J06 (E): LOSC,J07 (D): PSG,J08 (E): SMC,J09 (D): ASM,J10 (E): SCO,J11 (D): OL,J12 (E): FCN,J13 (D): FCM,J14 (E): SRFC,J15 (D): MHSC,J16 (E): OGCN,J17 (D): FCL,J18 (D): ASNL,J19 (E): DFCO,J20 (D): FCN,J21 (E): FCGB,J22 (D): ASSE,J23 (D): SCO,J24 (E): FCL,J25 (D): SCB,J26 (E): PSG,J27 (E): ASNL,J28 (D): LOSC,J29 (E): OL,J30 (D): SRFC,J31 (E): MHSC
12,SC Bastia,SCB,J01 (D): PSG,J02 (E): FCL,J03 (E): SMC,J04 (D): TFC,J05 (E): ASSE,J06 (D): ASNL,J07 (D): EAG,J08 (E): FCN,J09 (D): SCO,J10 (E): LOSC,J11 (D): DFCO,J12 (E): OL,J13 (D): MHSC,J14 (E): OGCN,J15 (D): FCGB,J16 (E): ASM,J17 (D): FCM,J18 (E): SRFC,J19 (D): OM,J20 (E): ASNL,J21 (D): OGCN,J22 (D): SMC,J23 (E): MHSC,J24 (D): FCN,J25 (E): TFC,J26 (D): ASM,J27 (E): SCO,J28 (D): ASSE,J29 (E): EAG,J30 (E): FCM,J31 (D): LOSC
13,Stade Rennais FC,SRFC,J01 (E): OGCN,J02 (D): ASNL,J03 (E): MHSC,J04 (D): SMC,J05 (E): ASM,J06 (D): OM,J07 (E): DFCO,J08 (D): EAG,J09 (D): FCGB,J10 (E): FCN,J11 (D): FCM,J12 (E): PSG,J13 (D): SCO,J14 (D): TFC,J15 (E): FCL,J16 (D): ASSE,J17 (E): OL,J18 (D): SCB,J19 (E): LOSC,J20 (D): PSG,J21 (E): EAG,J22 (D): FCN,J23 (E): FCGB,J24 (E): SCO,J25 (D): OGCN,J26 (E): OM,J27 (D): FCL,J28 (E): FCM,J29 (D): DFCO,J30 (E): TFC,J31 (D): OL
14,FC Nantes,FCN,J01 (E): DFCO,J02 (D): ASM,J03 (E): FCGB,J04 (D): FCM,J05 (E): ASNL,J06 (D): ASSE,J07 (E): OM,J08 (D): SCB,J09 (E): FCL,J10 (D): SRFC,J11 (E): OGCN,J12 (D): TFC,J13 (E): PSG,J14 (D): LOSC,J15 (D): OL,J16 (E): EAG,J17 (D): SMC,J18 (E): SCO,J19 (D): MHSC,J20 (E): TFC,J21 (D): PSG,J22 (E): SRFC,J23 (D): ASNL,J24 (E): SCB,J25 (D): OM,J26 (E): FCM,J27 (D): DFCO,J28 (E): ASM,J29 (E): MHSC,J30 (D): OGCN,J31 (D): SCO
