poste,nom,tit,entrees,buts,team,J01,J02,J03,J04,J05,J06,J07,J08,J09,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29*
G,Heaton,,,,B,6,7,5,5,4,6,6,7,6,8,6,3,,,5,7,6,6,5,5,7,6,6,5,5,5,,4,8
G,Pope,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Robinson,,,,B,,,,,,,,,,,,,5,4,,,,,,,,,,,,,5,,
D,Lowton,,,,B,4,6,4,5,3,6,4,4,5,6,5,3,5,,4,5,4,,5,4,6,5,5,4,5,6,4,6,5
D,Keane,,,,B,5,6,4,5,4,7,6,5,6,7,6,3,5,5,5,4,5,5,5,4,6,5,7,5,5,5,4,5,6:2
D,Mee,,,,B,5,6,4,5,3,5,5,5,5,6,6,3,4,5,6,4,5,6,5,4,6,5,6,5,5,6,5,5,6:1
D,Ward,,,,B,5,5,3,4,4,5,5,4,5,5,,2,3,4,7,5,5,5,6,5,6,5,7,4,5,4,5,4,6:1
D,Tarkowski,,,,B,,,<,,,,,,<,,<,,<,<,<,,,,<,,<,<,<,,,<,<,,
D,Long,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Darikwa,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Flanagan,,,,B,,,,,,,,,<,<,5,,,3,,,,5,,,,,,,,,,,
M,Boyd,,,,B,5,6,4,5,4,6,5,4,,<,<,<,4,4,6,5,4,6,6,4,6,5,4,5,5,5,5,5,5:1
M,Marney,,,,B,5,5,3,5,4,5,5,4,5,5,5,4,6,4,5,4,4,5,7,,5,5,,,,,,,:1
M,Jones,,,,B,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,Arfield,,,,B,5,5,4,<,5,<,<,,8,5,4,3,<,5,5,5,5,5,6,5,,,<,4,<,<,<,5,6:1
M,Gudmundsson,,,,B,<,<,<,5,<,6,5,4,6,6,8,4,5,,,,,<,<,5,,,,,,,,,:1
M,Defour,,,,B,,6,5,7,4,8,5,4,,,6,4,5,,5,,<,<,7,<,6,5,5,,,,,,:1
M,O'Neill,,,,B,,<,<,,,,,<,,,,,,,,,,,,,,,,,,,,,
M,Hendrick,,,,B,,,,<,4,6,4,4,5,4,6,3,4,5,7,4,5,5,,5,4,4,5,3,,,4,5,4:2
M,Barton,,,,B,,,,,,,,,,,,,,,,,,,,,<,<,6,5,6,5,5,4,4:1
M,Westwood,,,,B,,,,,,,,,,,,,,,,,,,,,,,,<,5,6,<,,
M,Brady,,,,B,,,,,,,,,,,,,,,,,,,,,,,,<,6,7,4,<,<:2
M,Kightly,,,,B,,,,,,<,,<,5,,,,,<,,,<,,,,,,,,,,,,
A,Gray,,,,B,4,7,3,4,3,,,,,5,,<,,4,<,3,3,6,9,3,4,5,6,4,4,4,7,4,5:8
