-------- 1 - Règles
Règles,
Buteur ou clean sheet,
<,entré en cours de match
Note > 7,
Note < 3,
Notes L1 = MonPetitGazon,
-------- 2 - OM
Olympique de Marseille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effectif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poste,Nom,Tit.,Entrée,Buts,M. L1,J01(D): TFC,J02(E ): EAG,J03(D): FCL,J04(E ): OGCN,J05(D): OL,J06(E ): SRFC,J07(D): FCN,J08(E ): SMC,J09(D): FCM,J10(E ): PSG,J11(D): FCGB,J12(E ): MHSC,J13(D): SMC,J14(E ): ASM,J15(E ): ASSE,J16(D): ASNL,J17(E ): DFCO,J18(D): LOSC,J19(E ): SCB,J20(D): ASM,J21(E ): OL,J22(D): MHSC,J23(E ): FCM,J24(D): EAG,J25(E ): FCN,J26(D): SRFC,J27(D): PSG,J28(E ): FCL,,,,,,,,,,,
G,Pelé,28,,,5.43,6,5,7,4,5,4,5,6,6,7,6,4,6,4,6,7,6,6,6,4,5,6,5,6,5,6,4,5,,,,,,,,,,,
G,Samba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Sparagna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Doria,14,5,1,4.93,5,4,5,4,5,,6,5,6,5,5,4,,,,,<,,,<,5,<,4,6,,<,,<,,,,,,,,,,,
D,Aloé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Andonian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Tuiloma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Rekik,8,2,,4.33,5,3,6,4,,4,,,,<,,,5,3,,,,,6,3,,,,,,,,,,,,,,,,,,,
D,Rolando,19,1,4,5.21,,,,,,,,<,,5,5,4,7,3,6,6,5,6,6,5,3,7,5,6,4,6,2,8,,,,,,,,,,,
D,Sakai,25,1,,4.96,5,4,7,3,5,Bl.,7,4,6,5,,5,6,4,6,6,5,6,4,3,4,5,4,6,5,,3,6,,,,,,,,,,,
D,Hubocan,10,2,,5.00,6,5,6,4,6,2,<,,<,,,,,,5,6,5,5,,,,,,,,,,,,,,,,,,,,,
D,Fanni,20,,1,5.10,,,,,,,6,5,7,6,5,4,6,3,5,6,5,7,5,3,4,6,6,6,4,,3,,,,,,,,,,,,
D,Evra,4,,,4.25,,,,,,,,,,,,,,,,,,,,,,5,,,3,5,4,,,,,,,,,,,,
D,Bédimo,10,1,,4.70,Bl.,,,,4,4,4,5,6,5,5,4,,,,,,,,,,,,,,,4,6,,,,,,,,,,,
M,Alessandrini,3,3,,4.50,,,,,,,,,,,<,4,5,>,<,,,,,,<,,,,,,,,,,,,,,,,,,
M,Sarr,9,13,,4.44,5,4,<,5,4,<,<,4,6,,4,,<,,,<,<,<,<,<,4,<,4,,<,<,,<,,,,,,,,,,,
M,Cabella,14,8,1,5.23,5,4,8,,<,5,5,5,,,<,5,,<,4,,,<,6,3,<,8,4,<,>,<,<,6,,,,,,,,,,,
M,Diarra,8,3,,5.38,5,5,7,,,,,,7,5,6,5,,3,,,,<,<,,,,,<,,,,,,,,,,,,,,,
M,Zambo Anguissa,17,7,,5.05,,,<,5,6,4,5,5,,4,,5,<,<,5,7,5,6,6,3,5,6,5,<,4,5,4,6,,,,,,,,,,,
M,Thauvin,26,2,8,5.26,4,<,6,6,4,4,6,6,6,4,6,5,4,4,5,7,7,7,6,3,4,7,4,5,4,7,3,8,,,,,,,,,,,
M,Diaby,2,,,4.00,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,Khaoui,1,8,,4.50,5,4,<,<,,,<,,,,,,,,<,<,,,,<,<,,,,,,,,,,,,,,,,,,
M,Machach,4,6,,4.80,<,,5,<,<,4,,<,,5,5,,5,,,,<,,,,,,,,,,,,,,,,,,,,,,
M,Vainqueur,20,,,5.95,,,,4,7,5,7,6,6,,,,6,4,7,7,6,7,6,5,,7,,6,6,6,5,6,,,,,,,,,,,
M,Lopez,17,3,1,5.19,,<,,,,<,,,<,,5,5,7,3,5,5,7,6,5,5,4,5,5,6,>,5,5,,,,,,,,,,,,
M,Sanson,5,2,1,5.80,,,,,,,,,,,,,,,,,,,,,4,<,<,7,6,6,,6,,,,,,,,,,,
M,Sertic,3,1,,6.33,,,,,,,,,,,,,,,,,,,,,,,6,,,7,<,6,,,,,,,,,,,
M,Payet,5,1,2,5.80,,,,,,,,,,,,,,,,,,,,,,,<,7,5,6,4,7,,,,,,,,,,,
M,Ocampos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Porsan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Rabillard,,2,,,,,,,,,,,,,,<,<,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Leya Iseka,3,5,,5.00,,<,4,6,5,,,<,<,,<,,,,,<,,,,,,,,,,,,,,,,,,,,,,,
A,Njie,10,6,4,5.00,,,,<,<,6,6,,5,4,,3,,4,<,7,5,5,<,,,,,,,6,4,<,,,,,,,,,,,
A,Gomis,23,1,16,5.35,5,4,7,5,4,7,6,4,6,4,4,,6,3,4,7,6,6,6,3,4,9,<,6,7,,,,,,,,,,,,,,
,,,,,,5.0,4.2,6.2,4.5454545454545459,5,4.4545454545454541,5.7,5.0,6.1,4.9,5.1,4.3,5.7,3.5,5.3,6.5,5.6,6.1,5.6,3.6,4.2,6.5,4.7,6.1,4.8,5.9,3.7,6.4,,,,,,,,,,,
-------- 3 - OL
Olympique lyonnais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effectif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poste,Nom,Tit.,Entrée,Buts,M. L1,J01(E ): ASNL,J02(D): SMC,J03(E ): DFCO,J04(D): FCGB,J05(E ): OM,J06(D): MHSC,J07(E ): FCL,J08(D): ASSE,J09(E ): OGCN,J10(D): EAG,J11(E ): TFC,J12(D): SCB,J13(E ): LOSC,J14(D): PSG,J15(E ): FCN,J16(E ): FCM,J17(D): SRFC,J18(E ): ASM,J19(D): SCO,J20(E ): SMC,J21(D): OM,J22(D): LOSC,J23(E ): ASSE,J24(D): ASNL,J25(E ): EAG,J26(D): DFCO,J27(D): FCM,J28(E ): FCGB,,,,,,,,,,,
G,Lopes,26,,,5.58,7,6,4,4,6,5,5,7,7,5,5,5,7,6,6,,8,5,6,5,6,4,5,6,4,,6,5,,,,,,,,,,,
G,Gorgelin,1,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,
G,Mocio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Jallet,6,1,,6.00,,,,,,,,,,,,,,,,,,<,7,,,,5,7,4,6,7,,,,,,,,,,,,
D,Morel,22,,,5.00,6,,,3,4,6,5,5,4,,5,6,5,5,,,6,6,5,4,6,5,4,6,5,5,,4,,,,,,,,,,,
D,Rafael,19,1,,5.39,5,7,3,4,6,8,Bl.,,<,4,4,,5,6,7,,5,6,,4,6,4,,,,,7,6,,,,,,,,,,,
D,Yanga-Mbiwa,19,1,,5.16,5,6,4,4,5,,5,,4,,<,,6,5,6,,5,7,6,5,6,5,4,6,4,,,,,,,,,,,,,,
D,Rybus,11,5,,4.73,,5,4,,5,6,5,5,3,4,<,,5,4,6,,,<,<,<,,,,<,,,,,,,,,,,,,,,
D,Diakhaby,15,,1,5.57,,,,4,,,,,,4,6,5,5,5,8,,6,6,6,Bl.,,,,,5,6,7,5,,,,,,,,,,,
D,Mammana,13,,1,5.54,,,,,,7,5,6,4,,6,6,,,,,,,,,5,6,4,6,,4,6,7,,,,,,,,,,,
D,Gaspar,2,,,4.00,,,,,,,,,3,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Nkoulou,7,,,5.43,6,7,3,,6,6,,6,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,C. Grenier,,4,,,<,<,<,,,,,,,,,<,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,Ghezzal,11,8,2,5.00,,,,4,<,<,<,<,5,6,5,7,,4,5,,6,7,4,,,<,3,,4,5,<,,,,,,,,,,,,
M,Ferri,7,12,,4.86,<,<,<,4,4,,5,6,4,,,<,6,5,<,,<,,<,,<,,<,<,<,,,<,,,,,,,,,,,
